date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,et0_fao_evapotranspiration,wind_speed_100m,wind_direction_100m,time
2020-07-25,57.6203,83.53588,52.6703,56.95139,0.0,0.0,5.956472,145.71307,11:00:00
2020-07-26,61.130302,69.89281,51.2303,60.79708,0.0,0.0,3.257121,164.05453,10:00:00
2020-07-27,56.5403,95.22691,55.1903,57.42121,0.0,0.0,1.7036484,336.8014,10:00:00
2020-07-28,58.4303,86.9513,54.560303,58.42276,0.0,0.0,5.659212,341.56494,10:00:00
2020-07-29,56.5403,96.16516,55.4603,56.79852,0.0,0.0,4.0328093,326.3099,09:00:00
2020-08-01,59.6903,77.314095,52.5803,59.912315,0.0,0.0,1.7471529,129.80553,10:00:00
2020-08-02,58.4303,80.87442,52.5803,58.222878,0.0,0.0,2.2813013,11.3098955,10:00:00
2020-08-03,63.560295,59.211903,49.070297,62.65833,0.0,2.31e-05,1.4323789,218.65984,10:00:00
2020-08-04,60.7703,84.28732,56.000298,61.92725,0.0,0.0,0.7074015,341.56494,11:00:00
2020-08-07,61.0403,71.05458,51.590298,60.57066,0.0,0.0,0.7074015,108.43504,10:00:00
2020-08-08,64.7303,67.121666,53.570297,65.14985,0.0,0.0,2.6937048,131.63345,10:00:00
2020-08-08,86.600296,33.030544,54.110302,86.78155,0.0,0.029747324,13.068753,353.11835,21:00:00
2020-08-12,58.5203,93.73327,56.7203,60.09442,0.0,0.0,1.7036484,23.198618,10:00:00
2020-08-13,64.100296,67.93981,53.3003,64.48799,0.0,0.0,2.0256896,173.6599,10:00:00
2020-08-14,74.7203,44.96436,51.9503,73.66423,0.0,0.001919356,2.8647578,321.34018,09:00:00
2020-08-15,74.0903,51.70323,55.1903,75.09184,0.0,0.000223373,0.9223387,165.96373,11:00:00
2020-08-16,97.2203,25.742271,56.360302,100.93812,0.0,0.029051933,5.2795095,323.61554,20:00:00
2020-08-16,103.1603,21.172956,55.9103,102.57221,0.0,0.03460664,14.428216,330.25522,22:00:00
2020-08-17,73.5503,49.465843,53.4803,72.866905,0.0,0.001803908,6.010832,224.9999,10:00:00
2020-08-17,94.0703,26.130896,54.110302,94.758194,0.0,0.03118413,11.184999,306.86996,21:00:00
2020-08-18,67.3403,73.345375,58.5203,69.692696,0.0,0.0,0.4474,360.0,10:00:00
2020-08-18,96.7703,22.514822,52.310303,96.060455,0.0,0.03288794,12.689923,319.28925,21:00:00
2020-08-19,74.4503,28.04824,39.2603,71.264595,0.0,0.000730963,2.942314,261.2539,10:00:00
2020-08-19,72.560295,30.952711,40.1603,69.38901,0.0,0.000973979,3.0426488,252.89719,11:00:00
2020-08-19,93.08031,17.808636,43.0403,89.31319,0.0,0.033144284,14.9544735,325.35898,21:00:00
2020-08-20,69.1403,47.83096,48.5303,68.2746,0.0,3.05e-05,1.2046614,291.80148,09:00:00
2020-08-20,65.3603,61.87264,51.9503,64.2793,0.0,0.000934943,5.8547893,316.5481,11:00:00
2020-08-20,84.44029,30.285448,49.880302,84.45292,0.0,0.028330458,10.341136,321.1466,20:00:00
2020-08-20,86.8703,27.097864,48.9803,83.51222,0.0,0.029972414,17.226353,322.38596,22:00:00
2020-08-21,63.2003,86.9192,59.2403,65.74939,0.0,0.0,1.803527,330.25522,09:00:00
2020-08-21,62.5703,88.295975,59.060303,65.30295,0.0,0.0,0.8065618,326.3099,10:00:00
2020-08-21,84.2603,41.75251,58.5203,86.320114,0.0,0.027701499,12.342079,316.46872,20:00:00
2020-08-21,85.9703,42.827076,60.7703,86.79524,0.0,0.027416527,16.627697,317.72638,22:00:00
2020-08-22,65.0903,82.67789,59.6903,67.34131,0.0,0.0,2.3354967,343.3007,10:00:00
2020-08-22,85.0703,38.007988,56.630302,86.45045,0.0,0.026551366,10.823474,341.93942,20:00:00
2020-08-22,87.41029,34.480488,56.000298,86.060715,0.0,0.027229965,16.285606,344.05453,22:00:00
2020-08-23,64.280304,71.39258,54.8303,64.85506,0.0,0.0,1.0004169,63.435013,10:00:00
2020-08-23,93.2603,27.960392,55.2803,94.329285,0.0,0.029744914,9.83517,342.80136,21:00:00
2020-08-24,65.6303,83.24494,60.410297,67.42885,0.0,5.51e-05,3.6689527,307.56866,10:00:00
2020-08-24,89.390305,41.471294,62.9303,89.30162,0.0,0.029292202,21.293842,340.99393,21:00:00
2020-08-25,69.9503,74.0676,61.310295,72.99614,0.0,0.0,3.1635957,171.86998,09:00:00
2020-08-25,67.6103,79.99882,61.2203,70.75402,0.0,0.0,3.9576569,137.29063,11:00:00
2020-08-25,84.350296,45.68727,61.130302,86.03317,0.0,0.025203675,13.129875,351.1797,21:00:00
2020-08-26,65.2703,81.89837,59.6003,67.82045,0.0,0.0,0.2237,90.0,09:00:00
2020-08-26,64.5503,84.249054,59.6903,66.08639,0.0,0.0,3.607054,330.25522,11:00:00
2020-08-26,78.9503,39.341904,52.130302,78.5154,0.0,0.025408229,12.374473,347.4712,20:00:00
2020-08-26,80.3003,36.41029,51.2303,77.54703,0.0,0.025588067,16.765564,341.3232,22:00:00
2020-08-27,58.250298,86.089615,54.110302,57.65858,0.0,0.0,4.3950076,345.25638,10:00:00
2020-08-27,76.2503,43.29891,52.310303,77.7277,0.0,0.024390375,7.6582546,353.29025,20:00:00
2020-08-27,81.0203,35.802288,51.4103,79.07198,0.0,0.025873207,14.14803,341.56494,22:00:00
2020-08-28,57.6203,93.404465,55.7303,58.639393,0.0,0.0,2.237,143.13002,10:00:00
2020-08-28,82.280304,38.323593,54.380302,82.719696,0.0,0.026910122,12.046613,344.93146,21:00:00
2020-08-29,61.310295,82.15275,55.820297,62.826054,0.0,0.0,2.062412,130.60121,10:00:00
2020-08-29,84.350296,34.916744,53.6603,84.26246,0.0,0.027960718,12.0258255,350.36252,21:00:00
2020-08-30,59.960304,90.78628,57.2603,61.517376,0.0,0.0,1.360714,279.46225,09:00:00
2020-08-30,59.960304,89.03593,56.7203,61.790985,0.0,0.0,1.803527,150.2552,11:00:00
2020-08-30,81.0203,40.319992,54.6503,81.16589,0.0,0.026377428,12.725366,349.8754,21:00:00
2020-08-31,57.710304,90.404175,54.9203,58.884106,0.0,0.0,1.9243401,125.537766,09:00:00
2020-08-31,59.6003,84.76763,55.0103,60.104362,0.0,0.0,0.7074015,71.564964,11:00:00
2020-08-31,77.8703,42.556248,53.3003,76.31046,0.0,0.024586633,15.246103,337.5741,20:00:00
2020-08-31,81.6503,35.42725,51.6803,80.556854,0.0,0.025096362,11.7095785,353.41815,22:00:00
2020-09-01,58.7003,81.969734,53.2103,59.483635,0.0,0.0,2.802953,118.61037,10:00:00
2020-09-01,81.0203,37.2559,52.4903,79.05649,0.0,0.024791157,14.75742,345.9637,22:00:00
2020-09-02,74.5403,49.939087,54.6503,75.35142,0.0,0.022478318,10.841952,338.19852,21:00:00
2020-09-03,73.100296,50.220215,53.4803,72.43737,0.0,0.0220164,13.818795,330.9455,21:00:00
2020-09-04,57.1703,86.5987,53.2103,56.812214,0.0,0.0,4.5240526,351.4693,10:00:00
2020-09-04,77.1503,38.54174,49.9703,75.84849,0.0,0.02407503,12.819396,330.75128,21:00:00
2020-09-05,61.8503,64.161545,49.610302,61.578827,0.0,0.0,2.0256896,6.3401003,09:00:00
2020-09-06,100.100296,21.172407,53.390297,101.81396,0.0,0.029405572,6.959911,315.0001,20:00:00
2020-09-06,105.2303,18.225075,53.4803,104.14442,0.0,0.031647295,12.125282,322.4958,22:00:00
2020-09-07,76.3403,33.7807,45.7403,73.943665,0.0,0.001865507,5.110945,203.19861,10:00:00
2020-09-07,104.69031,15.059478,47.9003,103.39002,0.0,0.03284484,10.026651,308.65982,20:00:00
2020-09-08,69.5003,49.353786,49.7003,68.931625,0.0,4.72e-05,1.2654383,135.0001,10:00:00
2020-09-12,56.360302,97.10928,55.5503,56.73011,0.0,0.0,4.52958,302.90524,10:00:00
2020-09-13,56.360302,98.70601,56.000298,56.409184,0.0,0.0,4.7189565,328.5705,10:00:00
2020-09-19,62.660297,87.171196,58.7903,63.65015,0.0,0.0,6.818264,318.991,10:00:00
2020-09-20,62.750298,74.34514,54.4703,61.879242,0.0,0.000685122,7.1338906,138.81418,10:00:00
2020-09-21,68.1503,60.020184,53.750298,68.3692,0.0,0.000340328,3.0095758,41.98713,09:00:00
2020-09-23,63.0203,71.02746,53.4803,63.501972,0.0,0.0,1.360714,170.53775,10:00:00
2020-09-24,64.280304,90.947525,61.5803,67.04035,0.0,0.0,4.297137,321.34018,10:00:00
2020-09-25,64.100296,56.369923,48.2603,62.773922,0.0,0.00031105,3.9131517,329.03632,10:00:00
2020-09-26,60.7703,68.92811,50.5103,59.66012,0.0,0.000281888,1.6131237,213.6901,09:00:00
2020-09-27,61.9403,75.74774,54.2003,61.726063,0.0,0.00020738,6.843904,258.6901,11:00:00
2020-09-28,74.0003,34.93765,44.5703,71.395744,0.0,0.001626876,3.4943058,230.19447,10:00:00
2020-09-29,60.500298,94.08732,58.7903,61.990536,0.0,0.0,2.9166913,237.52882,10:00:00
2020-09-30,56.5403,98.70704,56.1803,56.99894,0.0,0.0,5.217536,300.96368,10:00:00
2020-10-01,70.310295,44.133804,47.4503,67.82231,0.0,0.002040795,5.0270324,147.72438,09:00:00
2020-10-02,74.0003,32.390175,42.5903,71.67731,0.0,0.000306874,2.6937048,175.23645,11:00:00
2020-10-03,68.240295,43.960575,45.4703,65.83733,0.0,0.001195678,4.343468,168.11136,10:00:00
2020-10-04,65.1803,47.549603,44.750298,63.11243,0.0,0.000344048,1.6285605,195.94547,10:00:00
2020-10-05,57.4403,98.39231,56.9903,58.1847,0.0,0.0,1.803527,330.25522,10:00:00
2020-10-06,56.360302,99.67511,56.270298,56.35176,0.0,0.0,4.8393707,326.3099,10:00:00
2020-10-10,57.6203,91.29272,55.1003,57.61773,0.0,0.0,2.7029774,155.55606,10:00:00
2020-10-11,60.590298,85.10419,56.090298,60.504818,0.0,2.09e-05,6.8035703,297.4075,10:00:00
2020-10-12,59.1503,55.861942,43.4003,55.880558,0.0,0.0009857,5.4105806,209.7448,09:00:00
2020-10-13,64.7303,41.49124,40.7903,61.35583,0.0,0.001081864,4.6709933,196.69933,11:00:00
2020-10-14,62.3003,71.422195,52.9403,61.670467,0.0,0.000383596,6.8035703,242.5925,10:00:00
2020-10-15,68.060295,36.587498,40.5203,63.855415,0.0,0.00247231,6.843904,281.3099,10:00:00
2020-10-16,72.2003,25.339968,34.7603,67.965454,0.0,0.001230489,6.002501,243.43501,10:00:00
2020-10-17,68.4203,30.73346,36.3803,63.62447,0.0,0.002458868,1.1406506,168.69011,09:00:00
2020-10-18,69.5003,31.234077,37.7303,65.91579,0.0,0.000802595,6.3350954,137.86247,11:00:00
2020-10-19,62.840298,65.14645,50.9603,61.875057,0.0,0.000421068,6.5334187,128.04709,10:00:00
2020-10-20,57.5303,99.03302,57.2603,58.74189,0.0,0.0,2.5505724,307.87503,10:00:00
2020-10-21,64.6403,48.78563,44.930298,62.464302,0.0,0.000509609,3.1635957,188.13002,10:00:00
2020-10-22,64.1903,58.900433,49.520298,63.692184,0.0,0.0,3.6415722,169.3804,10:00:00
2020-10-24,56.1803,98.70501,55.820297,56.896183,0.0,0.0,3.613984,111.801476,10:00:00
2020-10-26,54.6503,14.515233,7.1303005,44.032837,0.0,0.005727456,20.620481,15.091635,10:00:00
2020-10-27,55.5503,36.519325,29.3603,49.392796,0.0,0.00202441,8.385021,260.78903,10:00:00
2020-10-28,54.2903,35.384285,27.470299,47.616478,0.0,0.002303003,6.818264,138.99101,09:00:00
2020-10-29,56.1803,44.05148,34.5803,51.397606,0.0,0.001118304,4.0266,180.0,11:00:00
2020-10-31,54.380302,75.8153,46.9103,52.883236,0.0,0.0,0.9223387,255.96373,10:00:00
2020-11-01,61.5803,43.516003,39.1703,58.14287,0.0,0.000606976,1.1406506,348.6901,10:00:00
2020-11-02,65.990295,32.94974,36.0203,62.170162,0.0,0.000582795,1.2046614,201.80147,09:00:00
2020-11-03,52.5803,88.9975,49.4303,50.864594,0.0,0.0,2.9845302,77.00539,11:00:00
2020-11-04,50.060303,88.58114,46.820297,47.435154,0.0,0.0,3.1635957,171.86998,10:00:00
2020-11-05,57.2603,84.06704,52.4903,56.50599,0.0,0.0,4.8030424,207.75845,10:00:00
2020-11-06,55.640297,90.62072,52.9403,55.02362,0.0,0.0,7.63535,301.8274,10:00:00
2020-11-10,39.9803,58.21811,26.4803,33.154423,0.0,0.000897395,4.9214,180.0,10:00:00
2020-11-10,61.2203,27.178286,27.1103,54.6763,0.0,0.011114311,5.90585,294.62354,22:00:00
2020-11-11,53.570297,68.58352,43.4903,50.203846,0.0,0.000489846,5.7032533,154.44008,10:00:00
2020-11-12,47.000298,82.53473,41.9603,43.500595,0.0,0.0,4.112674,202.38017,10:00:00
2020-11-13,48.2603,82.055275,43.0403,45.91799,0.0,0.0,1.360714,99.46225,09:00:00
2020-11-15,44.4803,86.78875,40.7903,40.449524,0.0,0.0,3.1077397,210.25635,10:00:00
