date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/13/20,20:00:00,0,7.910999775,71.43426514,0,936.0796509,57.59999847,10.8059988,7.910999775,6.111000061,0.340999991,0.347000003,N
1/13/20,22:00:00,0,7.56099987,72.38521576,0,935.3362427,40.5,11.90179825,8.761000633,6.56099987,0.338999987,0.347000003,N
1/14/20,0:00:00,0,7.361000061,72.86225128,0,935.18573,30.59999847,8.47339344,9.261000633,7.111000061,0.342000008,0.34799999,N
1/14/20,2:00:00,0,5.410999775,87.55826569,0,935.0630493,56.40000153,2.41495347,7.511000156,7.31099987,0.342000008,0.34799999,N
1/14/20,4:00:00,0,5.460999966,87.8718338,0,934.8952026,94.5,4.334974289,6.660999775,7.31099987,0.342000008,0.34799999,N
1/14/20,6:00:00,0,4.761000156,99.30455017,0,933.9540405,90.59999847,5.692099094,6.210999966,7.261000156,0.342000008,0.347000003,N
1/14/20,8:00:00,0,5.111000061,98.96137238,0.100000001,933.6936035,100,8.089992523,6.160999775,7.210999966,0.342999995,0.347000003,N
1/14/20,10:00:00,0,5.160999775,100,0.699999988,933.5256958,91.80000305,10.18233681,6.011000156,7.111000061,0.352999985,0.347000003,N
1/14/20,12:00:00,0,4.861000061,97.24601746,0.100000001,934.6238403,90,12.84952831,5.160999775,6.861000061,0.354000002,0.347000003,N
1/14/20,14:00:00,0,3.911000013,91.55348206,0,935.2507935,88.19999695,6.489992142,5.06099987,6.710999966,0.352999985,0.347000003,N
1/14/20,16:00:00,0,3.510999918,96.19006348,0,935.8605347,45.89999771,6.034699917,4.710999966,6.56099987,0.352999985,0.347000003,N
1/14/20,18:00:00,0,5.660999775,78.20372772,0,937.331543,55.20000076,13.45070839,5.861000061,6.460999966,0.351999998,0.347000003,N
1/14/20,20:00:00,0,7.011000156,67.29891968,0,936.9111938,8.099999428,12.76858616,7.410999775,6.611000061,0.351000011,0.347000003,N
1/14/20,22:00:00,0,7.361000061,57.69423676,0,935.6430054,76.19999695,12.64107609,8.411000252,6.861000061,0.349000007,0.347000003,N
1/15/20,0:00:00,0,6.910999775,68.24922943,0,935.2354736,20.69999886,10.1376915,9.361000061,7.31099987,0.342000008,0.342999995,N
1/15/20,2:00:00,0,3.861000061,88.35141754,0,934.5964966,17.10000038,5.692099094,7.011000156,7.460999966,0.342000008,0.342999995,N
1/15/20,4:00:00,0,2.460999966,94.45527649,0,933.8966675,0.899999976,9.178235054,5.460999966,7.361000061,0.342000008,0.342999995,N
1/15/20,6:00:00,0,1.460999966,94.07112885,0,933.4075928,1.799999952,8.28782177,4.361000061,7.06099987,0.340999991,0.342999995,N
1/15/20,8:00:00,0,0.911000013,92.69052124,0,932.7819824,0,7.091177464,3.611000061,6.710999966,0.340999991,0.342999995,N
1/15/20,10:00:00,0,0.361000001,92.99706268,0,932.4294434,0,6.21456337,2.960999966,6.361000061,0.340999991,0.342999995,N
1/15/20,12:00:00,0,-0.738999963,91.57699585,0,931.6312866,3.599999905,3.893995285,1.56099999,5.910999775,0.340000004,0.342000008,N
