latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.18346,-121.67709,298.5,0.39,0.36,5/8/20,1000,1,VIIRS,n,2.0NRT,286.3,0.6,N
37.45447,-121.9306,308,0.39,0.36,5/8/20,1000,1,VIIRS,n,2.0NRT,285,0.8,N
37.1842,-121.67738,304.7,0.45,0.39,5/9/20,942,1,VIIRS,n,2.0NRT,286.6,0.8,N
37.45682,-121.93117,308.6,0.46,0.39,5/9/20,942,1,VIIRS,n,2.0NRT,287.1,0.7,N
37.18415,-121.67982,301.3,0.42,0.38,5/13/20,1006,1,VIIRS,n,2.0NRT,281.4,0.7,N
37.4559,-121.93295,309.2,0.41,0.37,5/13/20,1006,1,VIIRS,n,2.0NRT,282.1,0.9,N
37.21286,-121.90038,295.7,0.42,0.37,5/13/20,1006,1,VIIRS,n,2.0NRT,281.5,0.4,N
37.18357,-121.68023,301.2,0.4,0.37,5/14/20,948,1,VIIRS,n,2.0NRT,280.5,0.8,N
37.1857,-121.68052,296.8,0.38,0.36,5/19/20,954,1,VIIRS,n,2.0NRT,280.8,0.3,N
37.45512,-121.93076,306.2,0.39,0.36,5/19/20,954,1,VIIRS,n,2.0NRT,282.6,0.6,N
37.45385,-121.93116,297.2,0.32,0.55,5/21/20,918,1,VIIRS,n,2.0NRT,283.3,0.4,N
37.45497,-121.93149,304.6,0.54,0.42,5/23/20,1018,1,VIIRS,n,2.0NRT,282.2,0.7,N
37.18368,-121.67777,306.9,0.39,0.36,5/24/20,1000,1,VIIRS,n,2.0NRT,283.6,0.6,N
37.45491,-121.93201,308.3,0.39,0.36,5/24/20,1000,1,VIIRS,n,2.0NRT,283.6,0.5,N
37.45516,-121.93431,301.5,0.46,0.39,5/25/20,942,1,VIIRS,n,2.0NRT,286.1,0.9,N
37.18401,-121.68164,297.6,0.45,0.39,5/25/20,942,1,VIIRS,n,2.0NRT,287.3,0.9,N
37.45352,-121.93037,300.7,0.52,0.5,5/26/20,924,1,VIIRS,n,2.0NRT,289,1,N
37.45476,-121.93356,300.8,0.48,0.65,5/27/20,906,1,VIIRS,n,2.0NRT,290.7,0.4,N
37.45538,-121.93061,306.8,0.43,0.46,5/28/20,1024,1,VIIRS,n,2.0NRT,289,0.7,N
37.32646,-121.86209,335.1,0.35,0.56,5/28/20,2148,1,VIIRS,l,2.0NRT,305.2,0.7,D
37.45507,-121.9295,311.5,0.41,0.37,5/29/20,1006,1,VIIRS,n,2.0NRT,288.9,1.1,N
37.21273,-121.90085,299.7,0.42,0.37,5/29/20,1006,1,VIIRS,n,2.0NRT,287.1,0.5,N
37.45592,-121.93187,313.7,0.41,0.37,5/30/20,948,1,VIIRS,n,2.0NRT,286.9,1.5,N
37.45705,-121.93233,301.9,0.52,0.5,6/2/20,1030,1,VIIRS,n,2.0NRT,285.3,0.7,N
37.4559,-121.9333,300.7,0.52,0.5,6/2/20,1030,1,VIIRS,n,2.0NRT,284.5,0.4,N
37.18306,-121.67838,302.5,0.48,0.4,6/3/20,1012,1,VIIRS,n,2.0NRT,289.7,0.9,N
37.45591,-121.93147,311.9,0.46,0.39,6/3/20,1012,1,VIIRS,n,2.0NRT,290,0.9,N
37.45436,-121.92999,307.9,0.39,0.36,6/4/20,954,1,VIIRS,n,2.0NRT,289.6,0.4,N
37.1847,-121.67788,306,0.38,0.36,6/4/20,954,1,VIIRS,n,2.0NRT,290.2,0.7,N
37.27328,-121.72333,326.1,0.39,0.36,6/4/20,954,1,VIIRS,n,2.0NRT,291.3,1.6,N
37.18528,-121.6785,299.6,0.52,0.42,6/5/20,936,1,VIIRS,n,2.0NRT,287.2,0.7,N
