datetime,date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/8/20 0:00,1/8/20,0:00:00,0,10.91100025,53.99998093,0,933.1092529,0,7.091177464,11.06100082,8.011000633,0.333000004,0.345999986,N
1/8/20 3:00,1/8/20,3:00:00,0,4.56099987,91.27321625,0,932.5233765,38.09999847,12.97998428,7.460999966,8.261000633,0.333999991,0.345999986,N
1/8/20 6:00,1/8/20,6:00:00,0,4.660999775,96.56263733,0,933.1016846,32.70000076,15.14141369,6.460999966,8.061000824,0.333999991,0.345999986,N
1/8/20 9:00,1/8/20,9:00:00,0,5.261000156,99.30735016,0,932.5505371,90,14.15491486,6.31099987,7.81099987,0.333999991,0.344999999,N
1/8/20 12:00,1/8/20,12:00:00,0,3.911000013,97.22505951,0,932.3275757,15.29999924,5.315336227,6.611000061,7.56099987,0.338,0.34799999,N
1/8/20 15:00,1/8/20,15:00:00,0,2.260999918,95.46644592,0,932.3748779,8.099999428,5.014219284,4.761000156,7.261000156,0.338,0.347000003,N
1/8/20 18:00,1/8/20,18:00:00,0,7.210999966,77.89304352,0,934.0440674,79.5,11.75387669,6.410999775,7.011000156,0.338,0.347000003,N
1/8/20 21:00,1/8/20,21:00:00,0,8.111000061,76.41213989,0,932.7542114,61.20000076,13.27614403,8.761000633,7.31099987,0.337000012,0.347000003,N
1/9/20 0:00,1/9/20,0:00:00,0,7.960999966,70.44004822,0,932.2528687,100,8.669948578,9.511000633,7.960999966,0.335999995,0.345999986,N
1/9/20 3:00,1/9/20,3:00:00,0,5.011000156,94.56573486,0,931.8359375,100,9.028754234,7.361000061,8.111000061,0.335999995,0.345999986,N
1/9/20 6:00,1/9/20,6:00:00,0,4.761000156,94.55503845,0,932.1265259,100,9.178235054,6.460999966,7.910999775,0.335999995,0.344999999,N
1/9/20 9:00,1/9/20,9:00:00,0,4.410999775,98.95550537,0,930.9251099,96,10.49571323,6.111000061,7.710999966,0.335999995,0.344999999,N
1/9/20 12:00,1/9/20,12:00:00,0,3.911000013,99.29976654,0.800000012,929.861145,100,6.489992142,6.011000156,7.261000156,0.333999991,0.344000012,N
1/9/20 15:00,1/9/20,15:00:00,0,3.81099987,99.99999237,1.399999976,927.5474854,100,9.826087952,5.361000061,7.06099987,0.365999997,0.344000012,N
1/9/20 18:00,1/9/20,18:00:00,0,6.06099987,92.65633392,0.100000001,929.223999,82.19999695,12.76858616,6.111000061,6.910999775,0.393000007,0.347000003,N
1/9/20 21:00,1/9/20,21:00:00,0,5.960999966,88.53605652,0,930.1998901,50.39999771,12.26115704,7.511000156,7.06099987,0.386000007,0.349000007,N
1/10/20 0:00,1/10/20,0:00:00,0,6.261000156,78.29688263,0,932.1171875,7.199999809,15.03835011,8.711000443,7.511000156,0.377000004,0.349000007,N
1/10/20 3:00,1/10/20,3:00:00,0,3.411000013,90.2246933,0,932.7246704,0,8.714676857,6.06099987,7.56099987,0.372999996,0.349999994,N
1/10/20 6:00,1/10/20,6:00:00,0,3.760999918,82.53240204,0,934.0180054,0,12.87975216,4.910999775,7.210999966,0.370000005,0.351000011,N
1/10/20 9:00,1/10/20,9:00:00,0,4.111000061,62.61695862,0,934.3063965,0,10.14408207,4.511000156,6.861000061,0.368000001,0.351000011,N
1/10/20 12:00,1/10/20,12:00:00,0,3.960999966,58.09573746,0,936.2709351,0,4.024922371,2.010999918,6.361000061,0.365999997,0.351999998,N
1/10/20 15:00,1/10/20,15:00:00,0,0.911000013,71.89311981,0,936.3412476,5.400000095,5.091168404,1.610999942,5.611000061,0.363999993,0.351999998,N
1/10/20 18:00,1/10/20,18:00:00,0,8.961000443,48.64070129,0,939.4987183,6.900000095,2.620839357,4.960999966,5.261000156,0.361999989,0.351999998,N
1/10/20 21:00,1/10/20,21:00:00,0,12.16100025,48.31645203,0,938.4129639,7.200000286,5.351784706,9.661000252,6.011000156,0.35800001,0.351999998,N
1/11/20 0:00,1/11/20,0:00:00,0,10.46100044,54.46134949,0,938.0144043,26.70000076,7.100309849,10.61100006,7.011000156,0.351000011,0.349000007,N
1/11/20 3:00,1/11/20,3:00:00,0,5.611000061,74.11346436,0,937.5907593,3.300000191,5.692099571,6.56099987,7.361000061,0.349999994,0.349000007,N
1/11/20 6:00,1/11/20,6:00:00,0,3.861000061,82.24930573,0,937.3369751,2.699999809,8.404285431,4.710999966,7.111000061,0.349999994,0.349000007,N
1/11/20 9:00,1/11/20,9:00:00,0,3.361000061,82.48064423,0,937.1849365,45.89999771,9.164103508,4.31099987,6.710999966,0.349000007,0.349000007,N
